"","DPCT","RPCT","DPROB","RPROB","RATING","MARGIN","STATE","COLOR","MARGINLABEL"
"AL","30.7545439015792","61.5454560984208","0","1","Safe R","-30.79","AL","1","R+30.79"
"AK","15.1904528156631","84.8159481909927","0","1","Safe R","-69.63","AK","1","R+69.63"
"AZ","49.1157940599298","47.8788650396131","0.5567","0.4433","Tossup","1.24","AZ","4","D+1.24"
"AR","29.3665431603428","61.3883348617","0","1","Safe R","-32.02","AR","1","R+32.02"
"CA","60.2215510901605","36.2428374354384","1","0","Safe D","23.98","CA","7","D+23.98"
"CO","52.5262970599811","43.8848918821032","0.9077","0.0923","Likely D","8.64","CO","6","D+8.64"
"CT","56.625192906119","39.9114440942874","0.9999","1e-04","Safe D","16.71","CT","7","D+16.71"
"FL","44.2133922827418","53.3882686818511","0.0696","0.9304","Likely R","-9.17","FL","2","R+9.17"
"GA","47.3841341314185","49.5118390903223","0.3824","0.6176","Lean R","-2.13","GA","3","R+2.13"
"HI","63.4096582143808","32.7828589069042","1","0","Safe D","30.63","HI","7","D+30.63"
"ID","28.2925854624718","67.8999316588132","0","1","Safe R","-39.61","ID","1","R+39.61"
"IL","55.2812366044208","40.8518982903387","0.9985","0.0015","Safe D","14.43","IL","7","D+14.43"
"IN","36.1495577039027","57.1110899311205","0","1","Safe R","-20.96","IN","1","R+20.96"
"IA","41.267384584786","55.7909283820742","1e-04","0.9999","Safe R","-14.52","IA","1","R+14.52"
"KS","34.8982426716896","58.2794498904719","0","1","Safe R","-23.38","KS","1","R+23.38"
"KY","32.09364207043","64.0988750508551","0","1","Safe R","-32.01","KY","1","R+32.01"
"LA","34.1092036971212","57.3331051162244","0","1","Safe R","-23.22","LA","1","R+23.22"
"MD","61.8904510762302","32.6095489237698","1","0","Safe D","29.28","MD","7","D+29.28"
"MO","39.3868052321628","57.5299766810009","0","1","Safe R","-18.14","MO","1","R+18.14"
"NV","47.4820142654819","48.8400273946658","0.4312","0.5688","Tossup","-1.36","NV","4","R+1.36"
"NH","49.6690195712333","47.8578000571051","0.6412","0.3588","Lean D","1.81","NH","5","D+1.81"
"NY","57.9248862578233","38.8896293781602","0.9964","0.0036","Safe D","19.04","NY","7","D+19.04"
"NC","45.6607803017875","51.692752155273","0.1545","0.8455","Likely R","-6.03","NC","2","R+6.03"
"ND","25.8105488587862","70.3819682624987","0","1","Safe R","-44.57","ND","1","R+44.57"
"OH","44.3582707415977","52.2162146249953","0.1796","0.8204","Likely R","-7.86","OH","2","R+7.86"
"OK","30.5839568150333","64.7295271412613","0","1","Safe R","-34.15","OK","1","R+34.15"
"OKS","32.7763876940859","63.4440168029237","0","1","Safe R","-30.67","OKS","1","R+30.67"
"OR","54.9713309527834","41.4950923457709","0.9944","0.0056","Safe D","13.48","OR","7","D+13.48"
"PA","47.6393276822847","48.8620798951794","0.4309","0.5691","Tossup","-1.22","PA","4","R+1.22"
"SC","37.960904008607","57.5390386160529","0","1","Safe R","-19.58","SC","1","R+19.58"
"SD","28.3913428818093","63.6052756562999","0","1","Safe R","-35.21","SD","1","R+35.21"
"UT","34.7812503772792","58.7000745284138","0","1","Safe R","-23.92","UT","1","R+23.92"
"VT","63.4081778883379","33.7653778084771","1","0","Safe D","29.64","VT","7","D+29.64"
"WA","52.520407919293","44.4047032522087","0.8754","0.1245","Likely D","8.12","WA","6","D+8.12"
"WI","46.8489918889378","51.4527285248719","0.2018","0.7982","Likely R","-4.6","WI","2","R+4.6"
